query,intent,entities
I'd like to arrange a session for July 1 at 1 PM.,book_appointment,"[{'entity': 'date', 'value': 'July 1'}, {'entity': 'time', 'value': '1 PM'}]"
I'd like to arrange a session for May 5 at 10 AM.,book_appointment,"[{'entity': 'date', 'value': 'May 5'}, {'entity': 'time', 'value': '10 AM'}]"
Book a slot for me on May 5.,book_appointment,"[{'entity': 'date', 'value': 'May 5'}]"
I'd like to arrange a session for April 20 at 10 AM.,book_appointment,"[{'entity': 'date', 'value': 'April 20'}, {'entity': 'time', 'value': '10 AM'}]"
Schedule an appointment for June 15.,book_appointment,"[{'entity': 'date', 'value': 'June 15'}]"
Schedule an appointment for May 5.,book_appointment,"[{'entity': 'date', 'value': 'May 5'}]"
I'd like to arrange a session for July 1 at 1 PM.,book_appointment,"[{'entity': 'date', 'value': 'July 1'}, {'entity': 'time', 'value': '1 PM'}]"
I need to book an appointment for April 20 at 5 PM.,book_appointment,"[{'entity': 'date', 'value': 'April 20'}, {'entity': 'time', 'value': '5 PM'}]"
Can I schedule a meeting on April 20?,book_appointment,"[{'entity': 'date', 'value': 'April 20'}]"
I'd like to arrange a session for May 5 at 3:30 PM.,book_appointment,"[{'entity': 'date', 'value': 'May 5'}, {'entity': 'time', 'value': '3:30 PM'}]"
I need to book an appointment for July 1 at 3:30 PM.,book_appointment,"[{'entity': 'date', 'value': 'July 1'}, {'entity': 'time', 'value': '3:30 PM'}]"
Schedule an appointment for June 15.,book_appointment,"[{'entity': 'date', 'value': 'June 15'}]"
Book a slot for me on May 5.,book_appointment,"[{'entity': 'date', 'value': 'May 5'}]"
Can I schedule a meeting on April 20?,book_appointment,"[{'entity': 'date', 'value': 'April 20'}]"
Schedule an appointment for December 31.,book_appointment,"[{'entity': 'date', 'value': 'December 31'}]"
Book a slot for me on May 5.,book_appointment,"[{'entity': 'date', 'value': 'May 5'}]"
Schedule an appointment for July 1.,book_appointment,"[{'entity': 'date', 'value': 'July 1'}]"
Can I schedule a meeting on April 20?,book_appointment,"[{'entity': 'date', 'value': 'April 20'}]"
Book a slot for me on July 1.,book_appointment,"[{'entity': 'date', 'value': 'July 1'}]"
I'd like to arrange a session for April 20 at 3:30 PM.,book_appointment,"[{'entity': 'date', 'value': 'April 20'}, {'entity': 'time', 'value': '3:30 PM'}]"
Book a slot for me on May 5.,book_appointment,"[{'entity': 'date', 'value': 'May 5'}]"
Can I schedule a meeting on July 1?,book_appointment,"[{'entity': 'date', 'value': 'July 1'}]"
I'd like to arrange a session for May 5 at 2 PM.,book_appointment,"[{'entity': 'date', 'value': 'May 5'}, {'entity': 'time', 'value': '2 PM'}]"
Schedule an appointment for June 15.,book_appointment,"[{'entity': 'date', 'value': 'June 15'}]"
Book a slot for me on December 31.,book_appointment,"[{'entity': 'date', 'value': 'December 31'}]"
Can I schedule a meeting on April 20?,book_appointment,"[{'entity': 'date', 'value': 'April 20'}]"
I'd like to arrange a session for June 15 at 1 PM.,book_appointment,"[{'entity': 'date', 'value': 'June 15'}, {'entity': 'time', 'value': '1 PM'}]"
Can I schedule a meeting on July 1?,book_appointment,"[{'entity': 'date', 'value': 'July 1'}]"
Book a slot for me on July 1.,book_appointment,"[{'entity': 'date', 'value': 'July 1'}]"
I need to book an appointment for June 15 at 1 PM.,book_appointment,"[{'entity': 'date', 'value': 'June 15'}, {'entity': 'time', 'value': '1 PM'}]"
I need to reschedule my meeting to another day.,cancel_appointment,[]
I need to reschedule my meeting to another day.,cancel_appointment,[]
I want to cancel my appointment on May 5.,cancel_appointment,"[{'entity': 'date', 'value': 'May 5'}]"
Cancel the slot I booked on May 5.,cancel_appointment,"[{'entity': 'date', 'value': 'May 5'}]"
I want to cancel my appointment on April 20.,cancel_appointment,"[{'entity': 'date', 'value': 'April 20'}]"
I want to cancel my appointment on December 31.,cancel_appointment,"[{'entity': 'date', 'value': 'December 31'}]"
Cancel the slot I booked on December 31.,cancel_appointment,"[{'entity': 'date', 'value': 'December 31'}]"
Remove my appointment for May 5.,cancel_appointment,"[{'entity': 'date', 'value': 'May 5'}]"
I want to cancel my appointment on April 20.,cancel_appointment,"[{'entity': 'date', 'value': 'April 20'}]"
I want to cancel my appointment on April 20.,cancel_appointment,"[{'entity': 'date', 'value': 'April 20'}]"
Cancel the slot I booked on July 1.,cancel_appointment,"[{'entity': 'date', 'value': 'July 1'}]"
I need to reschedule my meeting to another day.,cancel_appointment,[]
Can you cancel my booking scheduled for June 15 at 1 PM?,cancel_appointment,"[{'entity': 'date', 'value': 'June 15'}, {'entity': 'time', 'value': '1 PM'}]"
Cancel the slot I booked on May 5.,cancel_appointment,"[{'entity': 'date', 'value': 'May 5'}]"
Can you cancel my booking scheduled for May 5 at 10 AM?,cancel_appointment,"[{'entity': 'date', 'value': 'May 5'}, {'entity': 'time', 'value': '10 AM'}]"
Cancel the slot I booked on July 1.,cancel_appointment,"[{'entity': 'date', 'value': 'July 1'}]"
Cancel the slot I booked on May 5.,cancel_appointment,"[{'entity': 'date', 'value': 'May 5'}]"
Cancel the slot I booked on May 5.,cancel_appointment,"[{'entity': 'date', 'value': 'May 5'}]"
I want to cancel my appointment on July 1.,cancel_appointment,"[{'entity': 'date', 'value': 'July 1'}]"
I need to reschedule my meeting to another day.,cancel_appointment,[]
I need to reschedule my meeting to another day.,cancel_appointment,[]
Can you cancel my booking scheduled for December 31 at 10 AM?,cancel_appointment,"[{'entity': 'date', 'value': 'December 31'}, {'entity': 'time', 'value': '10 AM'}]"
Cancel the slot I booked on July 1.,cancel_appointment,"[{'entity': 'date', 'value': 'July 1'}]"
I need to reschedule my meeting to another day.,cancel_appointment,[]
I need to reschedule my meeting to another day.,cancel_appointment,[]
Can you cancel my booking scheduled for June 15 at 1 PM?,cancel_appointment,"[{'entity': 'date', 'value': 'June 15'}, {'entity': 'time', 'value': '1 PM'}]"
I want to cancel my appointment on May 5.,cancel_appointment,"[{'entity': 'date', 'value': 'May 5'}]"
Can you cancel my booking scheduled for July 1 at 5 PM?,cancel_appointment,"[{'entity': 'date', 'value': 'July 1'}, {'entity': 'time', 'value': '5 PM'}]"
I want to cancel my appointment on June 15.,cancel_appointment,"[{'entity': 'date', 'value': 'June 15'}]"
Can you cancel my booking scheduled for April 20 at 1 PM?,cancel_appointment,"[{'entity': 'date', 'value': 'April 20'}, {'entity': 'time', 'value': '1 PM'}]"
Check delivery status for #98765.,track_order,"[{'entity': 'order_id', 'value': '#98765'}]"
Check delivery status for #11223.,track_order,"[{'entity': 'order_id', 'value': '#11223'}]"
Track my package #12345.,track_order,"[{'entity': 'order_id', 'value': '#12345'}]"
Check delivery status for #12345.,track_order,"[{'entity': 'order_id', 'value': '#12345'}]"
Can you tell me where my shipment #67890 is?,track_order,"[{'entity': 'order_id', 'value': '#67890'}]"
Where is my order #11223?,track_order,"[{'entity': 'order_id', 'value': '#11223'}]"
Track my package #11223.,track_order,"[{'entity': 'order_id', 'value': '#11223'}]"
Where is my order #11223?,track_order,"[{'entity': 'order_id', 'value': '#11223'}]"
Track my package #54321.,track_order,"[{'entity': 'order_id', 'value': '#54321'}]"
Check delivery status for #98765.,track_order,"[{'entity': 'order_id', 'value': '#98765'}]"
Check delivery status for #98765.,track_order,"[{'entity': 'order_id', 'value': '#98765'}]"
Where is my order #12345?,track_order,"[{'entity': 'order_id', 'value': '#12345'}]"
I want to see the status of my order #12345.,track_order,"[{'entity': 'order_id', 'value': '#12345'}]"
Can you tell me where my shipment #67890 is?,track_order,"[{'entity': 'order_id', 'value': '#67890'}]"
Can you tell me where my shipment #12345 is?,track_order,"[{'entity': 'order_id', 'value': '#12345'}]"
Where is my order #54321?,track_order,"[{'entity': 'order_id', 'value': '#54321'}]"
Can you tell me where my shipment #11223 is?,track_order,"[{'entity': 'order_id', 'value': '#11223'}]"
Track my package #54321.,track_order,"[{'entity': 'order_id', 'value': '#54321'}]"
I want to see the status of my order #54321.,track_order,"[{'entity': 'order_id', 'value': '#54321'}]"
Track my package #98765.,track_order,"[{'entity': 'order_id', 'value': '#98765'}]"
Can you tell me where my shipment #98765 is?,track_order,"[{'entity': 'order_id', 'value': '#98765'}]"
I want to see the status of my order #67890.,track_order,"[{'entity': 'order_id', 'value': '#67890'}]"
Can you tell me where my shipment #98765 is?,track_order,"[{'entity': 'order_id', 'value': '#98765'}]"
Where is my order #54321?,track_order,"[{'entity': 'order_id', 'value': '#54321'}]"
Can you tell me where my shipment #12345 is?,track_order,"[{'entity': 'order_id', 'value': '#12345'}]"
Check delivery status for #11223.,track_order,"[{'entity': 'order_id', 'value': '#11223'}]"
Can you tell me where my shipment #11223 is?,track_order,"[{'entity': 'order_id', 'value': '#11223'}]"
I want to see the status of my order #54321.,track_order,"[{'entity': 'order_id', 'value': '#54321'}]"
Can you tell me where my shipment #11223 is?,track_order,"[{'entity': 'order_id', 'value': '#11223'}]"
I want to see the status of my order #12345.,track_order,"[{'entity': 'order_id', 'value': '#12345'}]"
There's an issue with a login error that I need to report.,report_issue,"[{'entity': 'issue_type', 'value': 'a login error'}]"
There's an issue with a payment failure that I need to report.,report_issue,"[{'entity': 'issue_type', 'value': 'a payment failure'}]"
I want to report an issue regarding a login error.,report_issue,"[{'entity': 'issue_type', 'value': 'a login error'}]"
I need help with a network outage.,report_issue,"[{'entity': 'issue_type', 'value': 'a network outage'}]"
Something is not working properly with a billing issue.,report_issue,"[{'entity': 'issue_type', 'value': 'a billing issue'}]"
I have a problem with a network outage.,report_issue,"[{'entity': 'issue_type', 'value': 'a network outage'}]"
Something is not working properly with a billing issue.,report_issue,"[{'entity': 'issue_type', 'value': 'a billing issue'}]"
Something is not working properly with a billing issue.,report_issue,"[{'entity': 'issue_type', 'value': 'a billing issue'}]"
Something is not working properly with a login error.,report_issue,"[{'entity': 'issue_type', 'value': 'a login error'}]"
I have a problem with a login error.,report_issue,"[{'entity': 'issue_type', 'value': 'a login error'}]"
I have a problem with a billing issue.,report_issue,"[{'entity': 'issue_type', 'value': 'a billing issue'}]"
I have a problem with a payment failure.,report_issue,"[{'entity': 'issue_type', 'value': 'a payment failure'}]"
Something is not working properly with a billing issue.,report_issue,"[{'entity': 'issue_type', 'value': 'a billing issue'}]"
There's an issue with a payment failure that I need to report.,report_issue,"[{'entity': 'issue_type', 'value': 'a payment failure'}]"
Something is not working properly with a login error.,report_issue,"[{'entity': 'issue_type', 'value': 'a login error'}]"
I have a problem with a billing issue.,report_issue,"[{'entity': 'issue_type', 'value': 'a billing issue'}]"
Something is not working properly with a system crash.,report_issue,"[{'entity': 'issue_type', 'value': 'a system crash'}]"
I need help with a login error.,report_issue,"[{'entity': 'issue_type', 'value': 'a login error'}]"
There's an issue with a system crash that I need to report.,report_issue,"[{'entity': 'issue_type', 'value': 'a system crash'}]"
I have a problem with a payment failure.,report_issue,"[{'entity': 'issue_type', 'value': 'a payment failure'}]"
I have a problem with a network outage.,report_issue,"[{'entity': 'issue_type', 'value': 'a network outage'}]"
I want to report an issue regarding a payment failure.,report_issue,"[{'entity': 'issue_type', 'value': 'a payment failure'}]"
Something is not working properly with a billing issue.,report_issue,"[{'entity': 'issue_type', 'value': 'a billing issue'}]"
I need help with a network outage.,report_issue,"[{'entity': 'issue_type', 'value': 'a network outage'}]"
Something is not working properly with a billing issue.,report_issue,"[{'entity': 'issue_type', 'value': 'a billing issue'}]"
There's an issue with a payment failure that I need to report.,report_issue,"[{'entity': 'issue_type', 'value': 'a payment failure'}]"
I need help with a billing issue.,report_issue,"[{'entity': 'issue_type', 'value': 'a billing issue'}]"
I want to report an issue regarding a billing issue.,report_issue,"[{'entity': 'issue_type', 'value': 'a billing issue'}]"
I have a problem with a login error.,report_issue,"[{'entity': 'issue_type', 'value': 'a login error'}]"
I need help with a billing issue.,report_issue,"[{'entity': 'issue_type', 'value': 'a billing issue'}]"
